,Method,YY_MM,Quantity of Units Issued,Quantity of Units,Rolling_Issuance,Rolling_Retirement,Balance,Retirement_Ratio
528,Construction / Manufacturing,23_03,14581.0,8241.0,20425620.0,18231048.0,2194572.0,0.8925578758441605
529,Cookstoves,09_11,132600.0,0.0,132600.0,0.0,132600.0,0.0
530,Cookstoves,10_01,0.0,1167.0,132600.0,1167.0,131433.0,0.008800904977375566
531,Cookstoves,10_02,262311.0,0.0,394911.0,1167.0,393744.0,0.0029550962115514634
532,Cookstoves,10_04,0.0,2456.0,394911.0,3623.0,391288.0,0.009174219001243319
533,Cookstoves,10_06,0.0,7000.0,394911.0,10623.0,384288.0,0.026899731838312936
534,Cookstoves,10_07,0.0,217.0,394911.0,10840.0,384071.0,0.027449222736262095
535,Cookstoves,10_08,258631.0,0.0,653542.0,10840.0,642702.0,0.01658653919717478
536,Cookstoves,10_09,0.0,1000.0,653542.0,11840.0,641702.0,0.018116662739349577
537,Cookstoves,10_11,0.0,15000.0,653542.0,26840.0,626702.0,0.0410685158719715
538,Cookstoves,10_12,0.0,11602.0,653542.0,38442.0,615100.0,0.058821009208283474
539,Cookstoves,11_02,0.0,440.0,653542.0,38882.0,614660.0,0.059494263566840386
540,Cookstoves,11_03,0.0,15000.0,653542.0,53882.0,599660.0,0.08244611669946232
541,Cookstoves,11_04,0.0,1393.0,653542.0,55275.0,598267.0,0.0845775787937118
542,Cookstoves,11_06,0.0,11750.0,653542.0,67025.0,586517.0,0.10255653041426564
543,Cookstoves,11_07,344181.0,3294.0,997723.0,70319.0,927404.0,0.07047948178001309
544,Cookstoves,11_08,0.0,29.0,997723.0,70348.0,927375.0,0.07050854796371338
545,Cookstoves,11_10,0.0,19594.0,997723.0,89942.0,907781.0,0.0901472653231408
546,Cookstoves,11_11,0.0,20013.0,997723.0,109955.0,887768.0,0.1102059389229275
547,Cookstoves,11_12,0.0,9356.0,997723.0,119311.0,878412.0,0.11958329115395756
548,Cookstoves,12_01,0.0,8109.0,997723.0,127420.0,870303.0,0.12771079748587533
549,Cookstoves,12_02,0.0,90.0,997723.0,127510.0,870213.0,0.12780100288356588
550,Cookstoves,12_03,0.0,935.0,997723.0,128445.0,869278.0,0.12873813673735096
551,Cookstoves,12_05,0.0,132.0,997723.0,128577.0,869146.0,0.12887043798729708
552,Cookstoves,12_06,349352.0,7181.0,1347075.0,135758.0,1211317.0,0.10077983779670768
553,Cookstoves,12_07,0.0,216.0,1347075.0,135974.0,1211101.0,0.1009401852161164
554,Cookstoves,12_08,0.0,2612.0,1347075.0,138586.0,1208489.0,0.10287920123229961
555,Cookstoves,12_09,0.0,154.0,1347075.0,138740.0,1208335.0,0.10299352300354472
556,Cookstoves,12_10,0.0,14161.0,1347075.0,152901.0,1194174.0,0.11350592951394689
557,Cookstoves,12_11,0.0,44278.0,1347075.0,197179.0,1149896.0,0.1463756657944064
558,Cookstoves,12_12,41750.0,460.0,1388825.0,197639.0,1191186.0,0.14230662610480083
559,Cookstoves,13_01,0.0,15000.0,1388825.0,212639.0,1176186.0,0.15310712292765466
560,Cookstoves,13_02,0.0,98.0,1388825.0,212737.0,1176088.0,0.15317768617356398
561,Cookstoves,13_03,0.0,9076.0,1388825.0,221813.0,1167012.0,0.15971270678451208
562,Cookstoves,13_04,0.0,4442.0,1388825.0,226255.0,1162570.0,0.16291109391031988
563,Cookstoves,13_05,0.0,14.0,1388825.0,226269.0,1162556.0,0.1629211743740212
564,Cookstoves,13_06,373769.0,1672.0,1762594.0,227941.0,1534653.0,0.1293213298127646
565,Cookstoves,13_07,0.0,117032.0,1762594.0,344973.0,1417621.0,0.1957189233595485
566,Cookstoves,13_08,0.0,10000.0,1762594.0,354973.0,1407621.0,0.20139237964046172
567,Cookstoves,13_09,27497.0,0.0,1790091.0,354973.0,1435118.0,0.1982988574323875
568,Cookstoves,13_10,0.0,16660.0,1790091.0,371633.0,1418458.0,0.2076056468637628
