,ID,Vintage,Issued,Retired,Balance
0,562,2005,162219,162219.0,0.0
1,562,2006,190864,190864.0,0.0
2,562,2007,199432,199432.0,0.0
3,562,2008,200328,200328.0,0.0
4,562,2009,201095,201095.0,0.0
5,562,2010,197482,197479.0,3.0
6,562,2011,212895,211953.0,942.0
7,562,2012,208202,208202.0,0.0
8,562,2013,207446,207446.0,0.0
9,562,2014,218260,218260.0,0.0
10,562,2015,290972,290972.0,0.0
11,562,2016,375656,289291.0,86365.0
12,562,2017,191264,42019.0,149245.0
13,562,2018,207335,207335.0,0.0
14,562,2019,220877,218481.0,2396.0
15,562,2020,278584,226211.0,52373.0
16,562,2021,235288,222663.0,12625.0
17,562,2022,10000,0.0,10000.0
18,595,2010,7955,7955.0,0.0
19,595,2015,23206,23206.0,0.0
20,595,2020,6086,6086.0,0.0
21,596,2010,18846,18846.0,0.0
22,596,2015,19534,19534.0,0.0
23,596,2020,29908,29908.0,0.0
24,597,2010,6425,6425.0,0.0
25,597,2015,20419,20419.0,0.0
26,597,2020,3731,3731.0,0.0
27,673,2011,372381,370421.0,1960.0
28,673,2014,173015,173015.0,0.0
29,673,2017,229902,229817.0,85.0
30,673,2020,199544,196743.0,2801.0
31,737,2011,61772,61772.0,0.0
32,737,2016,499331,456726.0,42605.0
33,737,2017,128875,128875.0,0.0
34,737,2018,128875,128858.0,17.0
35,737,2019,128875,123482.0,5393.0
36,737,2020,50139,44111.0,6028.0
37,824,2011,56064,56064.0,0.0
38,824,2013,50715,50715.0,0.0
39,824,2019,138235,137439.0,796.0
40,825,2011,14989,14989.0,0.0
41,825,2013,11265,11265.0,0.0
42,825,2019,69023,69023.0,0.0
43,826,2011,9206,9206.0,0.0
44,826,2013,11355,11355.0,0.0
45,826,2019,5258,5258.0,0.0
46,827,2011,35047,35047.0,0.0
47,827,2013,10988,10988.0,0.0
48,827,2019,34503,34503.0,0.0
49,899,2012,169784,169784.0,0.0
50,899,2013,138802,138802.0,0.0
51,899,2021,677799,592649.0,85150.0
52,944,2012,2842849,2042849.0,800000.0
53,944,2014,1576998,1530929.0,46069.0
54,944,2016,1227770,971889.0,255881.0
55,944,2018,891945,884656.0,7289.0
56,944,2020,688968,688968.0,0.0
57,953,2012,7601,0.0,7601.0
58,953,2013,11706,0.0,11706.0
59,953,2014,13377,0.0,13377.0
60,953,2015,13758,0.0,13758.0
61,953,2016,14138,0.0,14138.0
62,953,2017,14519,0.0,14519.0
63,953,2018,14899,0.0,14899.0
64,958,2015,146032,146032.0,0.0
65,958,2016,72238,62527.0,9711.0
66,958,2017,84126,56365.0,27761.0
67,958,2018,87268,87268.0,0.0
68,958,2019,87674,87674.0,0.0
69,958,2020,98952,89505.0,9447.0
70,993,2012,50696,50696.0,0.0
71,993,2017,464116,460322.0,3794.0
72,993,2019,111073,102852.0,8221.0
73,995,2012,28579,28579.0,0.0
74,995,2017,86841,86841.0,0.0
75,995,2019,43372,40477.0,2895.0
76,996,2012,64921,64921.0,0.0
77,996,2015,115398,115398.0,0.0
78,996,2020,119453,110108.0,9345.0
79,1201,2012,142798,142798.0,0.0
80,1201,2013,437785,432966.0,4819.0
81,1201,2014,394440,379233.0,15207.0
82,1201,2015,389949,1500.0,388449.0
83,1201,2016,411990,342244.0,69746.0
84,1201,2017,436324,24115.0,412209.0
85,1201,2018,459234,456686.0,2548.0
86,1202,2009,24878,22526.0,2352.0
87,1202,2010,98702,84452.0,14250.0
88,1202,2011,98702,98172.0,530.0
89,1202,2012,98973,98973.0,0.0
90,1202,2013,124511,123436.0,1075.0
91,1202,2014,132994,132994.0,0.0
92,1202,2015,117963,117963.0,0.0
93,1202,2016,143862,143862.0,0.0
94,1202,2017,161628,161628.0,0.0
95,1202,2018,169214,169135.0,79.0
96,1202,2019,209106,209099.0,7.0
97,1202,2020,189663,189663.0,0.0
98,1202,2021,208194,199691.0,8503.0
99,1202,2022,260011,0.0,260011.0
100,1202,2023,190633,0.0,190633.0
101,1317,2016,1414,1358.0,56.0
102,1317,2017,126,0.0,126.0
103,1317,2018,126,11.0,115.0
104,1317,2019,126,126.0,0.0
105,1317,2020,126,126.0,0.0
106,1317,2021,106,106.0,0.0
107,1326,2011,167178,167178.0,0.0
108,1326,2012,171546,168445.0,3101.0
109,1326,2013,175913,167117.0,8796.0
110,1326,2014,186814,177473.0,9341.0
111,1326,2015,191086,181532.0,9554.0
112,1326,2016,195357,185589.0,9768.0
113,1326,2017,199629,189648.0,9981.0
114,1326,2018,203900,193705.0,10195.0
115,1326,2019,208172,197763.0,10409.0
116,1326,2020,366155,347847.0,18308.0
117,1340,2012,1233546,1233546.0,0.0
118,1340,2013,1193723,1193723.0,0.0
119,1340,2014,1155842,1155842.0,0.0
120,1340,2015,1119400,1077234.0,42166.0
