,Project ID,Type,Name,Location,Standard,Volume,Price,Price Type,Broker,Offer Date,LDC,Notes,Year,Month,Quarter,Vintage
39,VCS 1745,Solar,Bundled Solar Power Project by Vector Green Sunshine Private Limited and Polepally Solar Parks Private Limited,India,VCS-SDG,74039,0.43,Trade,CBL,2019-04-23,0.0,,2019,4,2,2017
40,VCS 1745,Solar,Bundled Solar Power Project by Vector Green Sunshine Private Limited and Polepally Solar Parks Private Limited,India,VCS-SDG,10547,0.43,Trade,CBL,2019-04-23,0.0,,2019,4,2,2016
41,VCS 1020,Solar,Solar Power Plant of 15MW in Gujarat By Palace Solar Energy Private Limited,India,VCS,8002,0.43,Trade,CBL,2019-04-23,0.0,,2019,4,2,2017
42,VCS 717,Wind,Cecic HKC Gansu Changma Wind Power Project,China,VCS,200000,0.46,Trade,CBL,2019-04-29,0.0,,2019,4,2,2018
43,VCS 1733,Wind,Nouakchott 30 MW Wind Power Plant,Mauritania,VCS,30000,1.25,Trade,CBL,2019-04-29,1.0,,2019,4,2,2018
44,VCS 1734,Solar,Large Scale Grid Connected Solar PV Project in Toujounine,Mauritania,VCS,30000,1.25,Trade,CBL,2019-04-29,1.0,,2019,4,2,2018
45,VCS 902,ARR; REDD,Kariba REDD+,Zimbabwe,VCS-CCB,20000,1.9,Trade,CBL,2019-04-29,0.0,,2019,4,2,2016
46,VCS 514,ARR,Promoting Sustainable Development Through Nature Rubber Tree Plantations in Guatemala,Gautemala,VCS,100,3.3,Trade,CBL,2019-04-29,0.0,,2019,4,2,2011
47,VCS 1748,REDD,Southern Cardamom,Cambodia,VCS-CCB-SDG,120,8.0,Trade,CBL,2019-04-30,1.0,,2019,4,2,2015
48,VCS 1792,Solar,Ghani solar renewable power project by greenko group,India,VCS-SDG,200000,0.43,Trade,CBL,2019-05-01,0.0,,2019,5,2,2017
49,VCS 1792,Solar,Ghani solar renewable power project by greenko group,India,VCS-SDG,20000,0.28,Trade,CBL,2019-05-13,0.0,,2019,5,2,2017
50,VCS 1453,Wind,Gansu Ganzhou District Nantan Phase I 50MWP Solar Photovaltic Power Project,China,VCS,401,0.5,Trade,CBL,2019-05-17,0.0,,2019,5,2,2017
51,VCS 786,Natural Gas,Hyundai Steel Waste Energy Cogeneration Project,South Korea,VCS,400000,0.2,Trade,CBL,2019-05-27,0.0,,2019,5,2,2015
