Vintage,Method,Quantity of Units Issued,Quantity of Units,Remaining
2014,Solar,633208,317865.0,315343.0
2014,Waste,622664,443984.0,178680.0
2014,Wind,9562001,7836996.0,1725005.0
2015,ALM,115746,27183.0,88563.0
2015,ARR,18502186,12323561.0,6178625.0
2015,Avoided Def.,38511293,25718884.0,12792409.0
2015,Blue Carbon,8843,8843.0,0.0
2015,Construction / Manufacturing,2068983,2017200.0,51783.0
2015,Cookstoves,539915,269785.0,270130.0
2015,Fugitive Emiss.,358566,63719.0,294847.0
2015,Hydro,11625382,6544691.0,5080691.0
2015,IFM,955841,672152.0,283689.0
2015,LFG,641433,503206.0,138227.0
2015,Livestock,20000,14665.0,5335.0
2015,Other,6487657,4586381.0,1901276.0
2015,Solar,720960,541057.0,179903.0
2015,Transport,41308,11379.0,29929.0
2015,Waste,738107,668517.0,69590.0
2015,Wind,9139532,6771999.0,2367533.0
2016,ALM,3239437,1050550.0,2188887.0
2016,ARR,10776908,4030317.0,6746591.0
2016,Avoided Def.,37027113,14227617.0,22799496.0
2016,Blue Carbon,17165,9065.0,8100.0
2016,Construction / Manufacturing,1945918,1887342.0,58576.0
2016,Cookstoves,398208,160847.0,237361.0
2016,Fugitive Emiss.,594398,46387.0,548011.0
2016,Hydro,12976066,6896150.0,6079916.0
2016,IFM,1193612,758559.0,435053.0
2016,LFG,921204,572903.0,348301.0
2016,Other,5715878,4073929.0,1641949.0
2016,Solar,1481309,1152622.0,328687.0
2016,Transport,26613,5037.0,21576.0
2016,Waste,1077743,652922.0,424821.0
2016,Wind,13694482,10058967.0,3635515.0
2017,AFOLU Other,68663,,
2017,ALM,368222,149462.0,218760.0
2017,ARR,13691131,7201131.0,6490000.0
2017,Avoided Def.,47168023,15791618.0,31376405.0
2017,Blue Carbon,116871,69561.0,47310.0
2017,Construction / Manufacturing,984030,923518.0,60512.0
2017,Cookstoves,776655,465052.0,311603.0
2017,Fugitive Emiss.,597450,379478.0,217972.0
2017,Hydro,13075960,7580338.0,5495622.0
2017,IFM,972167,596176.0,375991.0
2017,LFG,886907,686599.0,200308.0
2017,Other,4776507,2234837.0,2541670.0
2017,Solar,5092068,4323228.0,768840.0
2017,Transport,13022,839.0,12183.0
2017,Waste,879546,655693.0,223853.0
2017,Wind,18255692,11376894.0,6878798.0
2018,AFOLU Other,65934,,
2018,ALM,1813951,137250.0,1676701.0
2018,ARR,13215943,6463099.0,6752844.0
2018,Avoided Def.,36527580,9807358.0,26720222.0
2018,Blue Carbon,218225,60819.0,157406.0
2018,Construction / Manufacturing,307982,155917.0,152065.0
2018,Cookstoves,597397,240347.0,357050.0
2018,Fugitive Emiss.,1284472,33343.0,1251129.0
2018,Hydro,12618400,4151625.0,8466775.0
2018,IFM,1132538,372455.0,760083.0
2018,LFG,876696,738233.0,138463.0
2018,Other,4387225,1692028.0,2695197.0
2018,Solar,12083467,7638352.0,4445115.0
2018,Transport,3663,240.0,3423.0
2018,Waste,964916,710328.0,254588.0
2018,Wind,19077973,11301207.0,7776766.0
2019,AFOLU Other,61603,,
2019,ALM,1754515,159108.0,1595407.0
2019,ARR,14977707,5970873.0,9006834.0
2019,Avoided Def.,36826674,11503885.0,25322789.0
2019,Blue Carbon,376741,122810.0,253931.0
2019,Construction / Manufacturing,249627,115613.0,134014.0
2019,Cookstoves,1649285,252355.0,1396930.0
2019,Fugitive Emiss.,5218524,1276903.0,3941621.0
2019,Hydro,12666614,1811190.0,10855424.0
2019,IFM,1254097,575177.0,678920.0
2019,LFG,1343096,587616.0,755480.0
2019,Livestock,247,109.0,138.0
2019,Other,3437224,1008323.0,2428901.0
2019,Solar,14419365,6044260.0,8375105.0
2019,Transport,8275,561.0,7714.0
2019,Waste,659310,409782.0,249528.0
2019,Wind,19831691,9345147.0,10486544.0
2020,AFOLU Other,78402,,
2020,ALM,3325987,160309.0,3165678.0
2020,ARR,13924419,2725827.0,11198592.0
2020,Avoided Def.,18621132,3779617.0,14841515.0
2020,Blue Carbon,967376,133819.0,833557.0
2020,Construction / Manufacturing,469673,209566.0,260107.0
2020,Cookstoves,2954579,194840.0,2759739.0
2020,Fugitive Emiss.,6212994,1228639.0,4984355.0
2020,Hydro,9625333,755240.0,8870093.0
2020,IFM,710948,89158.0,621790.0
2020,LFG,3564619,966198.0,2598421.0
2020,Livestock,25742,,
2020,Other,4747780,1195003.0,3552777.0
2020,Solar,16699788,6753636.0,9946152.0
2020,Transport,7582,2051.0,5531.0
2020,Waste,2035264,390073.0,1645191.0
2020,Wind,17102286,4260482.0,12841804.0
2021,AFOLU Other,42179,305.0,41874.0
2021,ALM,1335720,59681.0,1276039.0
2021,ARR,5089651,1060700.0,4028951.0
2021,Avoided Def.,11712747,573688.0,11139059.0
2021,Blue Carbon,1608084,190483.0,1417601.0
2021,Construction / Manufacturing,106470,40583.0,65887.0
2021,Cookstoves,4878812,157071.0,4721741.0
2021,Fugitive Emiss.,8402425,3000.0,8399425.0
2021,Hydro,3912501,345022.0,3567479.0
2021,IFM,602797,19244.0,583553.0
2021,LFG,1934880,591013.0,1343867.0
2021,Livestock,34759,,
2021,Other,4702128,738552.0,3963576.0
2021,Solar,11471470,4465180.0,7006290.0
2021,Transport,2437,1739.0,698.0
2021,Waste,2172802,178457.0,1994345.0
2021,Wind,11560132,1436097.0,10124035.0
2022,Cookstoves,2379457,34903.0,2344554.0
2022,Hydro,75266,2057.0,73209.0
2022,LFG,390544,11529.0,379015.0
2022,Other,1037327,213684.0,823643.0
2022,Solar,1514966,,
2022,Waste,588850,21028.0,567822.0
2022,Wind,1247730,,
