,Project ID,Project Name,Project Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Additional Issuance Certifications
1705,691,Improving Energy Efficiency In Railways' Residential Quarters - Northern Region in India,C-Quest Capital,Energy demand,,AMS-II.J.,Registered,India,20500,Asia,2020-04-06,,,
1706,692,6 MW Wind Power Project in Tamil Nadu by REI Agro Limited,REI Agro Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,15415,Asia,2020-04-06,2016-07-14,2026-07-13,
1707,694,Bundled Wind Power Project by Sheth Developers Private Limited,Sheth Developers Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,23571,Asia,2011-10-07,,,
1708,696,Natural Gas Based Grid Connected Combined Cycle Power Generation by TANGEDCO.,TANGEDCO LIMITED,Energy industries (renewable/non-renewable sources),,AM0029,Registered,India,234095,Asia,2011-09-26,,,
1709,703,PANITAO Biomass Thermal Energy Project,Energias Industriales S.A.,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,Chile,19235,Latin America,2011-10-31,,,
1710,705,Shandong Weihai 69 MW Wind Power Project,Huaneng Zhongdian Weihai Wind Power Co,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,135920,Asia,2020-04-06,2021-10-01,2028-09-30,
1711,1045,"Wind Power Project at Rajkot, Gujarat",ReNew Wind Energy (Rajkot) Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,47244,Asia,2013-08-13,,,
1712,1048,NATIONAL CARBON TRADING PROJECT FOR WEATHERIZATION OF LOW-INCOME DWELLINGS,NASCSP,Energy industries (renewable/non-renewable sources),,VM0008,Under development,United States,5000,North America,,,,
1713,1068,Hydroelectric Project El Edén,Central Hidroeléctrica El Edén S.A.S. E.S.P.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Colombia,39483,Latin America,2013-09-25,2017-02-16,2027-02-15,
1714,1088,"4.2 MW Wind Power Project by National Enterprises at Tamil Nadu, India",National Enterprises,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Crediting Period Renewal Requested,India,9294,Asia,2013-06-21,,,
